SRCID,Q1,Q5a,Q5c,p_age_group_sdc,p_education_sdc,TFC_DUM1
1239,1,3,3,4,3,"(1,2]"
1358,4,4,1,2,2,"(1,2]"
383,2,2,3,4,1,"(1,2]"
318,4,1,1,4,1,"(1,2]"
1348,2,1,1,3,1,"(1,2]"
1277,5,1,1,4,3,"(1,2]"
1831,1,2,1,2,2,"(1,2]"
1345,2,1,2,3,3,"(1,2]"
1105,5,2,1,4,1,"(1,2]"
610,4,1,1,2,2,"(1,2]"
1891,1,1,1,2,1,"(1,2]"
694,2,-98,1,3,1,"(1,2]"
1624,4,2,2,2,2,"(1,2]"
940,2,1,1,4,1,"(1,2]"
1150,4,2,2,2,3,"(1,2]"
1276,2,2,2,1,3,"(1,2]"
164,2,1,3,4,1,"(1,2]"
567,2,2,2,3,1,"(1,2]"
864,4,4,1,4,2,"(1,2]"
394,5,1,1,3,1,"(1,2]"
1820,2,1,1,2,1,"(1,2]"
1071,2,1,1,3,3,"(1,2]"
587,2,2,2,4,1,"(1,2]"
1108,1,1,1,4,1,"(1,2]"
1128,2,1,2,2,2,"(1,2]"
1708,4,1,2,4,1,"(1,2]"
355,4,2,1,3,1,"(1,2]"
1931,2,1,2,2,3,"(1,2]"
1172,2,2,1,3,1,"(1,2]"
1972,2,1,1,1,2,"(1,2]"
246,4,2,1,2,2,"(1,2]"
2118,2,1,2,3,2,"(1,2]"
1612,5,2,4,3,3,"(1,2]"
1065,1,1,1,3,2,"(1,2]"
113,4,2,2,3,3,"(1,2]"
895,2,1,1,4,1,"(1,2]"
2050,4,2,1,1,3,"(1,2]"
1214,4,2,1,2,3,"(1,2]"
1389,2,1,3,3,2,"(1,2]"
180,2,1,1,3,2,"(1,2]"
846,4,3,3,4,1,"(1,2]"
1574,4,1,1,3,1,"(1,2]"
1192,4,2,1,4,2,"(1,2]"
1156,1,1,1,4,3,"(1,2]"
11,2,1,1,2,2,"(1,2]"
758,4,1,1,3,3,"(1,2]"
